,protocol,io,srcport,dstport,payload
799,1,0,80,0,0.08619243519591005
800,1,0,80,0,39.97279699608532
801,1,1,0,80,63.5125
802,1,0,80,0,3.6835503714947673
803,1,1,0,80,60.325
804,1,0,80,0,43.845170568027484
805,1,1,0,80,57.1375
806,1,0,80,0,25.491731245506113
807,1,1,0,80,53.95
808,1,0,80,0,14.725153790844452
809,1,1,0,80,57.1375
810,1,0,80,0,25.86352560517696
811,1,1,0,80,53.95
812,1,0,80,0,25.38477670368299
813,1,1,0,80,60.325
814,1,0,80,0,25.303287528960613
815,1,1,0,80,60.325
816,1,0,80,0,3.724294958855956
817,1,1,0,80,57.1375
818,1,0,80,0,47.233702165055526
819,1,1,0,80,57.1375
820,1,0,80,0,47.549472717104734
821,1,1,0,80,57.1375
822,1,0,80,0,3.70901573859551
823,1,1,0,80,57.1375
824,1,0,80,0,47.269353678996566
825,1,1,0,80,57.1375
826,1,0,80,0,51.62556922585284
827,1,0,80,0,3.7344811056962532
828,1,0,80,0,51.090796516737235
829,1,1,0,80,57.1375
830,1,0,80,0,54.89186706079732
831,1,0,80,0,54.80528481265479
832,1,1,0,80,57.1375
833,1,1,0,80,57.1375
834,1,0,80,0,53.97002077175042
835,1,0,80,0,52.04413644352133
836,1,1,0,80,60.325
837,1,0,80,0,20.621295038747302
838,1,0,80,0,51.631630452148904
839,1,1,0,80,57.1375
840,1,1,0,80,57.1375
841,1,0,80,0,52.609422431698356
842,1,1,0,80,57.1375
843,1,0,80,0,56.20648266496245
844,1,1,0,80,57.1375
845,1,0,80,0,3.937889439207541
846,1,1,0,80,60.325
847,1,0,80,0,56.17083399904138
848,1,1,0,80,57.1375
849,1,0,80,0,57.16390397827129
850,1,1,0,80,57.1375
851,1,0,80,0,56.272687330244445
852,1,1,0,80,57.1375
853,1,0,80,0,7.4381890078287265
854,1,1,0,80,57.1375
855,1,0,80,0,59.788264898546096
856,1,1,0,80,53.95
857,1,0,80,0,61.92209218725036
858,1,1,0,80,57.1375
859,1,0,80,0,7.06642434893753
860,1,1,0,80,60.325
861,1,0,80,0,39.38903978271289
862,1,1,0,80,60.325
863,1,0,80,0,67.39489135644672
864,1,1,0,80,60.325
865,1,0,80,0,66.86016136763061
866,1,1,0,80,60.325
867,1,0,80,0,65.43421473078766
868,1,0,80,0,3.8207581083240134
869,1,0,80,0,70.71694759546253
870,1,1,0,80,60.325
871,1,0,80,0,75.0269811471481
872,1,0,80,0,74.90475714970442
873,1,1,0,80,60.325
874,1,1,0,80,60.325
875,1,0,80,0,5.420374660488896
876,1,1,0,80,60.325
877,1,0,80,0,18.009665694771737
878,1,1,0,80,63.5125
879,1,0,80,0,18.01475815792627
880,1,1,0,80,60.325
881,1,0,80,0,25.43775212685226
882,1,1,0,80,63.5125
883,1,0,80,0,10.98388385189919
884,1,1,0,80,63.5125
885,1,0,80,0,37.002556216799135
886,1,1,0,80,63.5125
887,1,0,80,0,0.23790789631345607
888,1,1,0,80,63.5125
889,1,1,0,80,875.5625
890,1,0,80,0,0.10147387761623262
891,2,1,0,0,3726
892,2,1,0,0,5370
893,1,0,0,443,8.853273137697517
894,1,1,443,0,0.11780975841652622
895,1,0,0,443,11.749435665914222
896,1,0,0,443,64.11512415349887
897,1,1,443,0,0.11247244911188901
898,1,1,443,0,3.839556592765461
899,1,0,0,443,11.749435665914222
900,1,1,443,0,3.634232248584641
901,1,0,0,443,11.173814898419865
902,1,1,443,0,4.04894334240892
903,1,0,0,443,11.749435665914222
904,1,0,80,0,1.4220504215110472
905,1,1,0,80,34.975
906,1,1,443,0,0.7029690133540776
907,1,0,0,443,11.173814898419865
908,1,0,0,443,32.29119638826185
909,1,0,0,443,113.39503386004515
910,1,1,443,0,0.11247244911188901
911,1,1,443,0,0.915921172047193
912,1,1,443,0,0.9379618825359782
913,1,0,0,443,11.749435665914222
914,1,1,443,0,0.22717057781235145
915,1,0,0,443,570.2302483069977
916,1,1,443,0,0.11247244911188901
917,1,1,443,0,0.3584856735381823
918,1,0,0,443,11.173814898419865
919,1,1,443,0,4.00486192143135
920,1,0,0,443,11.173814898419865
921,1,1,443,0,0.1835861532477635
922,1,0,0,443,11.173814898419865
923,1,1,443,0,0.11247244911188901
924,1,0,0,443,18.02708803611738
925,1,0,0,443,11.173814898419865
926,1,0,80,0,17.94927304681259
927,1,1,0,80,60.325
